from_node,to_node,time_h
NODE_000,NODE_001,9.075594300119477
NODE_000,NODE_002,6.4428924271126915
NODE_000,NODE_003,3.183965830960345
NODE_000,NODE_004,6.336505849518238
NODE_000,NODE_005,10.684435476864639
NODE_000,NODE_006,8.85871060969431
NODE_000,NODE_007,7.156718849431417
NODE_000,NODE_008,11.01809096967338
NODE_000,NODE_009,0.9431370701531702
NODE_000,NODE_010,1.3718179081575994
NODE_000,NODE_011,6.851266853970847
NODE_000,NODE_012,1.3190268870939468
NODE_000,NODE_013,6.065261501208244
NODE_000,NODE_014,8.587345843637854
NODE_000,NODE_015,13.902332182855133
NODE_000,NODE_016,5.249987268954803
NODE_000,NODE_017,13.2594178877978
NODE_000,NODE_018,7.251266853970847
NODE_000,NODE_019,5.776774306595058
NODE_000,NODE_020,10.333765838061778
NODE_000,NODE_021,4.626799904989332
NODE_000,NODE_022,2.7218937798109444
NODE_000,NODE_023,11.878745845626668
NODE_000,NODE_024,7.094686930261143
NODE_000,NODE_025,5.946373159325235
NODE_000,NODE_026,3.936936983347892
NODE_000,NODE_027,2.7325661830821013
NODE_000,NODE_028,1.8978711918863713
NODE_000,NODE_029,7.624617521249443
NODE_000,NODE_030,3.1218937798109443
NODE_000,NODE_031,11.102332182855132
NODE_000,NODE_032,4.977843049127413
NODE_000,NODE_033,13.422333604596613
NODE_000,NODE_034,7.703369194456264
NODE_000,NODE_035,7.869550354397422
NODE_000,NODE_036,9.669817264270657
NODE_000,NODE_037,4.301008890571509
NODE_000,NODE_038,3.4168277062880863
NODE_000,NODE_039,3.427724413217927
NODE_000,NODE_040,12.944621016498315
NODE_000,NODE_041,8.115614541464785
NODE_000,NODE_042,2.391066529457801
NODE_000,NODE_043,4.790217395763567
NODE_000,NODE_044,7.957403450281616
NODE_000,NODE_045,6.163487580576583
NODE_000,NODE_046,8.551979921459774
NODE_000,NODE_047,9.034339583872274
NODE_000,NODE_048,8.416790479125108
NODE_000,NODE_049,8.096514676977392
NODE_000,NODE_050,9.404386755142985
NODE_000,NODE_051,1.574109656713728
NODE_000,NODE_052,8.822428811278572
NODE_000,NODE_053,8.097591808270856
NODE_000,NODE_054,13.843290340039054
NODE_000,NODE_055,10.59398301405243
NODE_000,NODE_056,10.328518697458733
NODE_000,NODE_057,7.190110903509108
NODE_000,NODE_058,5.992836119315002
NODE_000,NODE_059,11.418090969673381
NODE_000,NODE_060,8.947602799526805
NODE_000,NODE_061,5.6269608588781175
NODE_000,NODE_062,7.058742960256007
NODE_000,NODE_063,9.993980486094019
NODE_000,NODE_064,7.909243692988803
NODE_000,NODE_065,7.073032414733204
NODE_000,NODE_066,11.542113969121605
NODE_000,NODE_067,7.595056027133396
NODE_000,NODE_068,5.618466509193024
NODE_000,NODE_069,4.513409835711133
NODE_000,NODE_070,6.476975890332012
NODE_000,NODE_071,2.8829270185780946
NODE_000,NODE_072,11.043290340039055
NODE_000,NODE_073,5.456593873887385
NODE_000,NODE_074,11.74330157833344
NODE_000,NODE_075,1.302315254118067
NODE_000,NODE_076,6.652011676704036
NODE_000,NODE_077,9.350539385761019
NODE_000,NODE_078,9.484550304894434
NODE_000,NODE_079,6.069131009020537
NODE_000,NODE_080,8.281026535391078
NODE_000,NODE_081,10.224450610037767
NODE_000,NODE_082,11.486895977009109
NODE_000,NODE_083,8.670042999142893
NODE_000,NODE_084,6.985885045102269
NODE_000,NODE_085,12.384015999924722
NODE_000,NODE_086,6.957850917799854
NODE_000,NODE_087,5.511461405682892
NODE_000,NODE_088,11.27160603662251
NODE_000,NODE_089,2.1778430491274134
NODE_000,NODE_090,6.616403004823393
NODE_000,NODE_091,9.756187391925542
NODE_000,NODE_092,4.264551305639023
NODE_000,NODE_093,9.639987612149168
NODE_000,NODE_094,8.1586656337081
NODE_000,NODE_095,3.1579508058421455
NODE_000,NODE_096,8.164462094747153
NODE_000,NODE_097,11.431901779165198
NODE_000,NODE_098,5.297591808270856
NODE_000,NODE_099,7.224617521249443
NODE_001,NODE_002,12.913856218996031
NODE_001,NODE_003,9.654929622843687
NODE_001,NODE_004,6.134512633673003
NODE_001,NODE_005,7.741804681299396
NODE_001,NODE_006,0.5091951451313017
NODE_001,NODE_007,13.627682641314758
NODE_001,NODE_008,8.959303475498498
NODE_001,NODE_009,9.540012122997304
NODE_001,NODE_010,9.412580330624072
NODE_001,NODE_011,7.434816480745756
NODE_001,NODE_012,8.16279619738015
NODE_001,NODE_013,7.358721061364159
NODE_001,NODE_014,15.058309635521196
NODE_001,NODE_015,10.594915817519983
NODE_001,NODE_016,9.045424893434998
NODE_001,NODE_017,10.293654162849801
NODE_001,NODE_018,7.560408898765138
