from_node,to_node,distance_km
NODE_000,NODE_001,541.0223683128443
NODE_000,NODE_002,391.3202623800989
NODE_000,NODE_003,199.50300854356163
NODE_000,NODE_004,365.68584475827396
NODE_000,NODE_005,598.9078003991217
NODE_000,NODE_006,531.7789081392135
NODE_000,NODE_007,445.842071237763
NODE_000,NODE_008,724.9772897498034
NODE_000,NODE_009,47.59565402733474
NODE_000,NODE_010,84.39775624690645
NODE_000,NODE_011,408.07822472494627
NODE_000,NODE_012,88.55672136070521
NODE_000,NODE_013,351.41597917298463
NODE_000,NODE_014,496.4702811149547
NODE_000,NODE_015,849.7362961516673
NODE_000,NODE_016,323.9736144369421
NODE_000,NODE_017,823.0147960484933
NODE_000,NODE_018,431.0555145309458
NODE_000,NODE_019,364.7765896491113
NODE_000,NODE_020,638.5850827624727
NODE_000,NODE_021,287.8607558820288
NODE_000,NODE_022,173.03601138086947
NODE_000,NODE_023,697.1593724693197
NODE_000,NODE_024,432.22376717153605
NODE_000,NODE_025,348.76596238093657
NODE_000,NODE_026,258.88110485592637
NODE_000,NODE_027,148.21781646090432
NODE_000,NODE_028,104.60409097934503
NODE_000,NODE_029,436.7995563406113
NODE_000,NODE_030,183.3606095194543
NODE_000,NODE_031,687.5452986587684
NODE_000,NODE_032,307.0521885330661
NODE_000,NODE_033,850.3681689291952
NODE_000,NODE_034,444.38596454760165
NODE_000,NODE_035,509.03209802924306
NODE_000,NODE_036,555.9378539684599
NODE_000,NODE_037,249.7136089722829
NODE_000,NODE_038,217.30804818755763
NODE_000,NODE_039,187.8909518793593
NODE_000,NODE_040,836.0546379686791
NODE_000,NODE_041,539.2893028149441
NODE_000,NODE_042,151.01602344706168
NODE_000,NODE_043,291.66064112698683
NODE_000,NODE_044,454.0611955648608
NODE_000,NODE_045,396.07423594811036
NODE_000,NODE_046,573.5576632115933
NODE_000,NODE_047,582.2020324822967
NODE_000,NODE_048,519.85775325526
NODE_000,NODE_049,492.19849877530385
NODE_000,NODE_050,629.2100300927005
NODE_000,NODE_051,92.04129091491939
NODE_000,NODE_052,586.3871996800945
NODE_000,NODE_053,505.8498609422405
NODE_000,NODE_054,878.8129270684783
NODE_000,NODE_055,603.6738266038033
NODE_000,NODE_056,633.825493167451
NODE_000,NODE_057,445.3182253299146
NODE_000,NODE_058,356.4746119489687
NODE_000,NODE_059,744.2939139084345
NODE_000,NODE_060,581.1734436515314
NODE_000,NODE_061,342.15902004215815
NODE_000,NODE_062,466.4503983315776
NODE_000,NODE_063,646.9402889178277
NODE_000,NODE_064,522.5540375297946
NODE_000,NODE_065,450.8919901488173
NODE_000,NODE_066,719.7921934042959
NODE_000,NODE_067,472.36371881646807
NODE_000,NODE_068,337.6361151461299
NODE_000,NODE_069,294.44520937045604
NODE_000,NODE_070,375.6699744746919
NODE_000,NODE_071,175.56502161411615
NODE_000,NODE_072,639.8724040699609
NODE_000,NODE_073,362.92659448524284
NODE_000,NODE_074,735.5681027340124
NODE_000,NODE_075,76.39364357109524
NODE_000,NODE_076,369.2203197906034
NODE_000,NODE_077,630.720231312551
NODE_000,NODE_078,610.5500803266625
NODE_000,NODE_079,340.8312914525213
NODE_000,NODE_080,479.4844598850804
NODE_000,NODE_081,623.9417335135042
NODE_000,NODE_082,673.1150401192749
NODE_000,NODE_083,529.0766766153229
NODE_000,NODE_084,454.7580872891757
NODE_000,NODE_085,793.8513453219092
NODE_000,NODE_086,434.2743037532397
NODE_000,NODE_087,307.2149599037383
NODE_000,NODE_088,696.0943446863231
NODE_000,NODE_089,132.30777573351375
NODE_000,NODE_090,405.5959881520492
NODE_000,NODE_091,599.8417520403835
NODE_000,NODE_092,256.16128735047977
NODE_000,NODE_093,568.1932916601509
NODE_000,NODE_094,488.6859409563414
NODE_000,NODE_095,200.37283671034083
NODE_000,NODE_096,494.67672838748234
NODE_000,NODE_097,713.5833807674665
NODE_000,NODE_098,328.49881774859114
NODE_000,NODE_099,423.09669709212767
NODE_001,NODE_002,798.4551165905633
NODE_001,NODE_003,606.6378627540261
NODE_001,NODE_004,364.8170991947541
NODE_001,NODE_005,512.2460103311021
NODE_001,NODE_006,28.785454566783773
NODE_001,NODE_007,852.9769254482275
NODE_001,NODE_008,550.03371284044
NODE_001,NODE_009,573.5478207204447
NODE_001,NODE_010,559.1357928575115
NODE_001,NODE_011,450.1309737745355
NODE_001,NODE_012,495.69157557116966
NODE_001,NODE_013,439.6982869463361
NODE_001,NODE_014,903.6051353254192
NODE_001,NODE_015,693.6247896128609
NODE_001,NODE_016,541.3864320332968
NODE_001,NODE_017,666.9032895096868
NODE_001,NODE_018,460.7083105562989
NODE_001,NODE_019,771.9114438595757
NODE_001,NODE_020,668.2378787878258
NODE_001,NODE_021,694.9956100924932
NODE_001,NODE_022,574.2767720626997
NODE_001,NODE_023,541.0478659305134
NODE_001,NODE_024,471.77535854113427
NODE_001,NODE_025,322.0071761218487
NODE_001,NODE_026,662.5745093119563
NODE_001,NODE_027,673.2486253766602
NODE_001,NODE_028,436.4182773334992
NODE_001,NODE_029,843.9344105510758
NODE_001,NODE_030,584.6013702012846
NODE_001,NODE_031,674.1070968751079
NODE_001,NODE_032,257.3478664186377
NODE_001,NODE_033,522.4042309241239
NODE_001,NODE_034,96.63640376524259
NODE_001,NODE_035,765.7702627047474
NODE_001,NODE_036,109.85040951280264
NODE_001,NODE_037,337.99591674563436
NODE_001,NODE_038,624.442902398022
NODE_001,NODE_039,353.1314164334849
NODE_001,NODE_040,540.0936144844409
NODE_001,NODE_041,785.3986468492361
NODE_001,NODE_042,625.7540600576667
NODE_001,NODE_043,512.4024681843576
NODE_001,NODE_044,367.39940549684127
NODE_001,NODE_045,679.6860212573373
NODE_001,NODE_046,792.5280084303765
NODE_001,NODE_047,692.6003282516938
NODE_001,NODE_048,45.23895868139454
NODE_001,NODE_049,659.2144637896259
NODE_001,NODE_050,848.0683385307051
NODE_001,NODE_051,483.55155728613084
NODE_001,NODE_052,812.863449767629
NODE_001,NODE_053,786.4513484959593
NODE_001,NODE_054,729.2067245628164
NODE_001,NODE_055,399.14765891076456
NODE_001,NODE_056,663.4782891928041
NODE_001,NODE_057,119.08182962178921
NODE_001,NODE_058,475.5418572755073
NODE_001,NODE_059,530.5084468255559
NODE_001,NODE_060,253.2095056464601
NODE_001,NODE_061,749.2938742526226
NODE_001,NODE_062,716.925412896285
NODE_001,NODE_063,658.622053811621
NODE_001,NODE_064,741.4123459677992
NODE_001,NODE_065,122.9280521437459
NODE_001,NODE_066,742.2166914531037
NODE_001,NODE_067,879.4985730269325
NODE_001,NODE_068,744.7709693565944
NODE_001,NODE_069,622.2987945696179
NODE_001,NODE_070,165.35239383815232
NODE_001,NODE_071,567.0752879853276
NODE_001,NODE_072,505.9466595840189
NODE_001,NODE_073,643.1258780875471
NODE_001,NODE_074,407.6041647289411
NODE_001,NODE_075,488.00641138060854
NODE_001,NODE_076,182.85537343752964
NODE_001,NODE_077,849.6905765313343
NODE_001,NODE_078,867.0909822220062
NODE_001,NODE_079,234.530913665784
NODE_001,NODE_080,886.6193140955448
NODE_001,NODE_081,82.91936520065994
NODE_001,NODE_082,227.0275956636176
NODE_001,NODE_083,558.729472640676
NODE_001,NODE_084,734.95737089148
NODE_001,NODE_085,465.8874073168378
NODE_001,NODE_086,651.6871213495945
NODE_001,NODE_087,233.8074084091059
NODE_001,NODE_088,608.69276678655
NODE_001,NODE_089,432.09227921819
NODE_001,NODE_090,209.96477843880234
NODE_001,NODE_091,629.4945480657367
NODE_001,NODE_092,663.2961415609442
NODE_001,NODE_093,412.0817851213445
NODE_001,NODE_094,895.8207951668059
NODE_001,NODE_095,601.6135973921711
NODE_001,NODE_096,665.8728452049575
NODE_001,NODE_097,385.61944276239507
NODE_001,NODE_098,735.6336719590556
NODE_001,NODE_099,830.2315513025922
NODE_002,NODE_003,191.81725383653722
NODE_002,NODE_004,673.0701508587156
NODE_002,NODE_005,906.2921064995633
NODE_002,NODE_006,784.5917170385586
NODE_002,NODE_007,79.2029310675959
NODE_002,NODE_008,625.7679779323312
NODE_002,NODE_009,438.91591640743354
NODE_002,NODE_010,475.7180186270053
NODE_002,NODE_011,752.5046393301628
NODE_002,NODE_012,302.76354101939364
NODE_002,NODE_013,658.8002852734262
NODE_002,NODE_014,169.39887175366465
NODE_002,NODE_015,1157.1206022521087
NODE_002,NODE_016,715.293876817041
NODE_002,NODE_017,1130.3991021489348
NODE_002,NODE_018,768.9613622202604
NODE_002,NODE_019,51.29924915877124
NODE_002,NODE_020,976.0062084383301
NODE_002,NODE_021,190.7321775853714
NODE_002,NODE_022,564.3562737609683
NODE_002,NODE_023,1004.5436785697613
NODE_002,NODE_024,769.1364897026655
NODE_002,NODE_025,656.1502684813781
NODE_002,NODE_026,650.2013672360252
NODE_002,NODE_027,539.5380788410031
NODE_002,NODE_028,430.04545199546817
NODE_002,NODE_029,105.16532098202548
NODE_002,NODE_030,574.6808718995532
NODE_002,NODE_031,1024.9664243346258
NODE_002,NODE_032,541.1072501719257
NODE_002,NODE_033,828.1256558539936
NODE_002,NODE_034,751.7702706480434
NODE_002,NODE_035,409.82278621177085
NODE_002,NODE_036,863.3221600689017
NODE_002,NODE_037,557.0979150727245
NODE_002,NODE_038,209.4654716671705
NODE_002,NODE_039,495.2752579798009
NODE_002,NODE_040,736.8453261512069
NODE_002,NODE_041,930.6095651950429
NODE_002,NODE_042,542.3362858271605
NODE_002,NODE_043,682.9809035070857
NODE_002,NODE_044,761.4455016653023
NODE_002,NODE_045,787.3944983282092
NODE_002,NODE_046,964.8779255916921
NODE_002,NODE_047,482.99272066482445
NODE_002,NODE_048,753.9128148941197
NODE_002,NODE_049,883.5187611554027
NODE_002,NODE_050,1020.5302924727994
NODE_002,NODE_051,483.3615532950182
NODE_002,NODE_052,977.7074620601933
NODE_002,NODE_053,406.6405491247683
NODE_002,NODE_054,1186.1972331689199
NODE_002,NODE_055,911.0581327042448
NODE_002,NODE_056,971.2466188433084
NODE_002,NODE_057,679.3732869687742
NODE_002,NODE_058,694.6438556025975
NODE_002,NODE_059,645.0846020909623
NODE_002,NODE_060,815.228505290391
NODE_002,NODE_061,49.16124233794071
NODE_002,NODE_062,857.7706607116764
NODE_002,NODE_063,547.7309771003555
NODE_002,NODE_064,913.8742999098935
NODE_002,NODE_065,684.9470517876769
NODE_002,NODE_066,1057.2133190801533
NODE_002,NODE_067,105.72457864630098
NODE_002,NODE_068,55.62473440633521
NODE_002,NODE_069,685.7654717505549
NODE_002,NODE_070,683.0542805751336
NODE_002,NODE_071,566.885283994215
NODE_002,NODE_072,947.2567101704025
NODE_002,NODE_073,754.2468568653417
NODE_002,NODE_074,788.2377757344243
NODE_002,NODE_075,321.13347182503094
NODE_002,NODE_076,676.6046258910451
NODE_002,NODE_077,1022.0404936926499
NODE_002,NODE_078,1001.8703427067613
NODE_002,NODE_079,648.215597552963
NODE_002,NODE_080,155.69944197351253
NODE_002,NODE_081,867.04145298184
NODE_002,NODE_082,980.4993462197167
NODE_002,NODE_083,866.4978022911803
NODE_002,NODE_084,846.0783496692745
NODE_002,NODE_085,710.9498436683577
NODE_002,NODE_086,825.5945661333385
NODE_002,NODE_087,614.59926600418
NODE_002,NODE_088,1008.0200594563923
NODE_002,NODE_089,366.3628373723733
NODE_002,NODE_090,639.6510497909088
NODE_002,NODE_091,937.262877716241
NODE_002,NODE_092,135.15897502961909
NODE_002,NODE_093,875.5775977605924
NODE_002,NODE_094,155.61111273855974
NODE_002,NODE_095,591.6930990904397
NODE_002,NODE_096,885.9969907675811
NODE_002,NODE_097,789.9736061541232
NODE_002,NODE_098,229.28950593111892
NODE_002,NODE_099,99.3116791805598
NODE_003,NODE_004,481.25289702217833
NODE_003,NODE_005,714.474852663026
NODE_003,NODE_006,592.7744632020214
NODE_003,NODE_007,246.33906269420132
NODE_003,NODE_008,525.4742812062418
NODE_003,NODE_009,247.09866257089638
NODE_003,NODE_010,283.9007647904681
NODE_003,NODE_011,560.6873854936257
NODE_003,NODE_012,110.94628718285641
NODE_003,NODE_013,466.983031436889
NODE_003,NODE_014,296.967272571393
NODE_003,NODE_015,965.3033484155716
NODE_003,NODE_016,523.4766229805037
NODE_003,NODE_017,938.5818483123976
NODE_003,NODE_018,577.1441083837232
NODE_003,NODE_019,165.27358110554965
NODE_003,NODE_020,784.188954601793
NODE_003,NODE_021,88.35774733846714
NODE_003,NODE_022,372.5390199244311
NODE_003,NODE_023,812.726424733224
NODE_003,NODE_024,577.3192358661283
NODE_003,NODE_025,464.3330146448409
NODE_003,NODE_026,458.384113399488
NODE_003,NODE_027,347.72082500446595
NODE_003,NODE_028,238.22819815893092
NODE_003,NODE_029,237.29654779704964
NODE_003,NODE_030,382.8636180630159
NODE_003,NODE_031,833.1491704980886
NODE_003,NODE_032,349.2899963353884
NODE_003,NODE_033,727.8319591279043
NODE_003,NODE_034,559.9530168115059
NODE_003,NODE_035,309.5290894856814
NODE_003,NODE_036,671.5049062323642
NODE_003,NODE_037,365.28066123618726
NODE_003,NODE_038,32.60398679819559
NODE_003,NODE_039,303.4580041432637
NODE_003,NODE_040,636.5516294251175
NODE_003,NODE_041,738.7923113585057
NODE_003,NODE_042,350.5190319906233
NODE_003,NODE_043,491.16364967054847
NODE_003,NODE_044,569.6282478287651
NODE_003,NODE_045,595.577244491672
NODE_003,NODE_046,773.0606717551549
NODE_003,NODE_047,382.6990239387351
